,date,link,title
2015-07-21 20:20:03,Tue Jul 21 20:20:03 +0800 2015,http://tw.weibo.com/2134671703/3867138810728390,「上帝在細節中」God is in the details.本是歐洲諺語，傳到美國后，1992 年量變，變成「上帝在細節中。魔鬼也在」God is in the details. But so is the Devil.這諺語提醒人們：謹小慎微多麼重要。不過，我更喜歡定論重於細節：當我給一個人定論成王八蛋，我應放棄細節，我應後悔寫了「蔣介石評傳」！
2015-07-20 20:20:03,Mon Jul 20 20:20:03 +0800 2015,http://tw.weibo.com/2134671703/3866776423318557,人間有兩種陰陽裂變，有傷大雅也有傷小雅：一為女人不搞男人而搞政治；一為男人不搞女人而搞屁眼。或謂伊利莎白一世終身不婚專搞政治不也了不起嗎？其實她的了不起在生前把情人下獄卻在死前低呼情人的名字。假設洪秀柱蔡英文能有雅興如此、哀呼而亡，自為吾人所樂見，英國女王又算老幾啊？
2015-07-19 20:20:03,Sun Jul 19 20:20:03 +0800 2015,http://tw.weibo.com/2134671703/3866414035713869,"格蘭特（Ulysses S. Grant) 將軍打贏美國南北戰爭。或問將軍顧曲否？他答道：我僅知其二：一首是揚基歌，一首不是。I know only two tunes: One of them is ""Yankee Doodle"" and the other isn't. 乍聽之下粗魯不文，仔細一想倒也乾脆。我愛國，我只欣賞宗國之音。其他小調，吾不屑也。"
2015-07-18 20:20:03,Sat Jul 18 20:20:03 +0800 2015,http://tw.weibo.com/2134671703/3866051647715974,"1923 ,7,4.孫中山寫信給徐謙，大罵「滿清遺民，亡國賤種」。不過，滿清遺民有一長處，就是承認亡國。他們沒有孫中山徒子徒孫那種厚臉皮，丟了江山，還要姓蔣的繼續干、還要「將革命事業從頭做起」、還要一拖 66 年自稱「中華民國」。一個亡得很光棍，一個亡得死不要臉。亡國賤種倒底是誰呀？"
2015-07-17 20:20:03,Fri Jul 17 20:20:03 +0800 2015,http://tw.weibo.com/2134671703/3865689260005230,拿破崙的遺愛不在我武維揚，在拿破崙法典；列寧的遺愛不在紅旗招展，在列寧式政黨。列寧式政黨有一因果律，就是這種政黨不會產生民主，以為這種政黨會有民主果實的，是傻瓜。不論共產黨、國民黨、民進黨，它們的結構都是列寧式的，所以不可能產生英美式政黨的民主。到頭來大家空高興一場！
2015-07-16 20:20:03,Thu Jul 16 20:20:03 +0800 2015,http://tw.weibo.com/2134671703/3865326871733507,40 年前在蔣介石黑獄，最後一年洗腦，繳報告才能過關。負責把關的上校端坐辦公廳，等我寫違心之論。不料我狡猾無比，我找來蔣介石全集，翻出一篇，照抄一通 。上校不明真相，還改了幾個字，打了 80 分。我心裏竊笑不已：他媽的你老蔣整天把臭狗屎給我吃，這回你和你的上校吃你自己的臭狗屎吧！
2015-07-15 20:20:03,Wed Jul 15 20:20:03 +0800 2015,http://tw.weibo.com/2134671703/3864964484295110,兩岸混蛋各有千秋：大陸又混又壞；台灣又混又賤。最近台灣中學生鬧課綱，說課本中不可刪除 228 ，不可忘了國民黨殺了台灣人。但日本人殺台灣人，怎麼刪除了呢？日本人用機槍、大炮、飛機、毒氣，殺得比國民黨氣派多了，為什麼不敢提？國民黨再狠也狠不過日本人呀。台灣混蛋又混又賤，不是嗎？
2015-07-14 20:20:03,Tue Jul 14 20:20:03 +0800 2015,http://tw.weibo.com/2134671703/3864602096067771,混蛋有兩類，個體混蛋與群體混蛋。個體混蛋因人而異，不論是阿 Q 式或梁漱溟式，都混得各有特色；群體混蛋則眾口一聲，蔚為焦點：台灣混蛋焦點是去中國化，喊海峽對岸是「中國」，不承認自己是中國人；大陸混蛋焦點是台灣民主化。其實兩岸都不可能民主化：雙方都是列寧式政黨，怎能民主化？
2015-07-13 20:20:03,Mon Jul 13 20:20:03 +0800 2015,http://tw.weibo.com/2134671703/3864239708476135,「中華民國」1912 成立，1927 國民黨干下一票，搶走了它。但逆取不能順守，1949 招牌帶到台灣，私下自承亡國，表面上竊國號以自娛。不料強盜碰到小偷，1999 民進黨干下一票，偷走了它。小偷以「台灣前途決議文」宣布接受「稱為中華民國」。如今有人還信「中華民國」，強盜小偷都要笑你啦！
2015-07-12 20:20:03,Sun Jul 12 20:20:03 +0800 2015,http://tw.weibo.com/2134671703/3863877319665152,夕陽之美，以其將盡；楓葉之美，以其枯黃；壽星之美，以其策杖；廣陵散之美，以其絕響；「反之亦然」之美，以其在音韻上比拉丁文 vice versa 更動聽。姓毛的之美，以其有姓蔣的比他更丑，如你不服氣，當然你可以「反之亦然」。但別忘了，同為暴君，也有高下之分：一個稱霸世界、一個是閉十。
